"Title","Grid Reference","X (Easting)","Y (Northing)","Latitude","Longitude","Postcode","Address (near)"
1,"NO 37670 06450","337670","706450","56.246466","-3.0073848","",""
2,"NO 37770 06450","337770","706450","56.246479","-3.0057714","",""
3,"NO 37870 06450","337870","706450","56.246493","-3.0041580","",""
4,"NO 37470 06350","337470","706350","56.245542","-3.0105879","",""
5,"NO 37570 06350","337570","706350","56.245555","-3.0089745","",""
6,"NO 37670 06350","337670","706350","56.245568","-3.0073612","",""
7,"NO 37770 06350","337770","706350","56.245581","-3.0057478","",""
8,"NO 37870 06350","337870","706350","56.245594","-3.0041345","",""
9,"NO 37970 06350","337970","706350","56.245607","-3.0025211","",""
10,"NO 37370 06250","337370","706250","56.244630","-3.0121775","",""
11,"NO 37470 06250","337470","706250","56.244643","-3.0105642","",""
12,"NO 37570 06250","337570","706250","56.244657","-3.0089509","",""
13,"NO 37670 06250","337670","706250","56.244670","-3.0073376","",""
14,"NO 37770 06250","337770","706250","56.244683","-3.0057243","",""
15,"NO 37970 06250","337970","706250","56.244709","-3.0024977","",""
16,"NO 38070 06250","338070","706250","56.244722","-3.0008844","",""
17,"NO 37370 06150","337370","706150","56.243732","-3.0121538","",""
18,"NO 37470 06150","337470","706150","56.243745","-3.0105405","",""
19,"NO 37570 06150","337570","706150","56.243758","-3.0089273","",""
20,"NO 37670 06150","337670","706150","56.243771","-3.0073140","",""
21,"NO 37770 06150","337770","706150","56.243785","-3.0057007","",""
22,"NO 37570 06050","337570","706050","56.242860","-3.0089036","",""
23,"NO 37570 05950","337570","705950","56.241962","-3.0088800","",""
24,"NO 37670 05950","337670","705950","56.241975","-3.0072668","",""
25,"NO 37570 05850","337570","705850","56.241063","-3.0088564","",""
26,"NO 37670 05850","337670","705850","56.241077","-3.0072432","",""
27,"NO 37770 05850","337770","705850","56.241090","-3.0056301","",""
28,"NO 37570 05750","337570","705750","56.240165","-3.0088328","",""
29,"NO 37670 05750","337670","705750","56.240178","-3.0072196","",""
30,"NO 37570 05650","337570","705650","56.239267","-3.0088091","",""
31,"NO 37670 05650","337670","705650","56.239280","-3.0071961","",""
32,"NO 37570 05550","337570","705550","56.238368","-3.0087855","",""

